dataset,arch,config,test_acc_none_mean,test_acc_none_std,test_acc_none_count,test_acc_hidden_mean,test_acc_hidden_std,test_acc_hidden_count
emnist,deep,drop,0.8500227963525836,0.0016937563265910555,7,0.3235258358662613,0.013790681012752404,7
emnist,deep,ln,0.8831079027355624,0.00175366813146752,7,0.15290273556231002,0.028433523070752382,7
emnist,deep,ln_drop,0.8518996960486322,0.0012101168208240684,7,0.2501823708206687,0.022493708716344065,7
emnist,deep,plain,0.8808814589665654,0.0009404806587334838,7,0.1456914893617021,0.016885261077276975,7
emnist,shallow,drop,0.8487234042553192,0.001447942296682581,7,0.3138981762917933,0.019332325013976227,7
emnist,shallow,ln,0.8715653495440729,0.0017045796675115709,7,0.16699848024316102,0.02585520165682494,7
emnist,shallow,ln_drop,0.848822188449848,0.0015390117611833144,7,0.2404559270516717,0.011824148530776828,7
emnist,shallow,plain,0.873647416413374,0.0011481877745666209,7,0.17030395136778112,0.027888234367901513,7
mnist,deep,drop,0.9871714285714285,0.0006524678426668473,7,0.7649142857142858,0.031226026995196842,7
mnist,deep,ln,0.9877714285714286,0.0004644505202002545,7,0.8191285714285714,0.021796002254673083,7
mnist,deep,ln_drop,0.9880000000000001,0.0003265986323710913,7,0.8166714285714286,0.014720701329048475,7
mnist,deep,plain,0.9870142857142857,0.0009423880506963256,7,0.7177571428571429,0.033105430427794146,7
mnist,shallow,drop,0.9869571428571428,0.0007976154939508732,7,0.8185714285714285,0.031900873252713846,7
mnist,shallow,ln,0.9871857142857143,0.0010431180365112985,7,0.8308,0.030548104141937638,7
mnist,shallow,ln_drop,0.9870428571428571,0.0009306935457982066,7,0.7883714285714286,0.027412631777200474,7
mnist,shallow,plain,0.9871125000000001,0.0003870677312453568,8,0.7890375000000001,0.02022685184882424,8
