config,subset_size,test_acc_none_mean,test_acc_none_std,test_acc_none_count,test_acc_hidden_mean,test_acc_hidden_std,test_acc_hidden_count,delta_mean,delta_std,delta_count
drop,10,0.95135,0.0022679836860083585,5,0.7309,0.018000520825798394,5,0.22044999999999998,0.019680574178615864,5
drop,15,0.9570333333333334,0.0014500957822770565,5,0.6566666666666666,0.02030565055457334,5,0.3003666666666667,0.02098359147312752,5
drop,20,0.9493750000000001,0.0016321956071500424,5,0.526825,0.03436540775256421,5,0.42255000000000004,0.033732009093737664,5
drop,25,0.89588,0.0013809417076763694,5,0.48628,0.03047748349191577,5,0.4096,0.029270719157547177,5
drop,30,0.8929166666666667,0.0005951190357118818,5,0.3944,0.028618260972866804,5,0.4985166666666667,0.028383803088694454,5
drop,35,0.8577285714285715,0.002273628763695173,5,0.36495714285714287,0.013957533990717743,5,0.4927714285714286,0.013955048095472112,5
drop,40,0.851525,0.0014392652205205123,5,0.3424,0.016986587079958114,5,0.5091249999999999,0.016775342302766835,5
ln,10,0.95505,0.0015751984002023306,5,0.71575,0.01881820926655879,5,0.2393,0.018500337834753203,5
ln,15,0.9643666666666666,0.0017053836323048853,5,0.5843,0.020611957155442014,5,0.38006666666666666,0.020682990864744667,5
ln,20,0.9580249999999999,0.0018674849396983658,5,0.400075,0.029495709433746457,5,0.5579500000000001,0.03017405238777185,5
ln,25,0.9068400000000001,0.0011392980294900865,5,0.36202,0.027049621069434596,5,0.54482,0.026673432475030304,5
ln,30,0.9078166666666666,0.0013351550055663531,5,0.25565,0.029408013363707502,5,0.6521666666666667,0.03032131172037983,5
ln,35,0.8790857142857142,0.0010766539246523656,5,0.2230428571428571,0.020023366452263543,5,0.6560428571428571,0.01999793356671576,5
ln,40,0.87155,0.0008260882973387384,5,0.189275,0.019923711925115762,5,0.682275,0.019406657604415012,5
ln_drop,10,0.9519,0.0014958275301651819,5,0.68785,0.031116514907682035,5,0.26405,0.031053079557428746,5
ln_drop,15,0.9581666666666667,0.0010206207261597524,5,0.5406666666666666,0.015042993939594178,5,0.4175,0.015838157159916866,5
ln_drop,20,0.949775,0.0012790377242286625,5,0.45615000000000006,0.016837087040221667,5,0.49362500000000004,0.017601047554052042,5
ln_drop,25,0.89648,0.0016543881044059356,5,0.39984000000000003,0.019566757523923062,5,0.49664,0.019870405129236775,5
ln_drop,30,0.8914666666666667,0.001997915580465466,5,0.3096833333333333,0.0201615351598037,5,0.5817833333333333,0.01988601197380274,5
ln_drop,35,0.8600428571428571,0.0014971060518922275,5,0.2995285714285714,0.01624741737718863,5,0.5605142857142857,0.01633040547130234,5
ln_drop,40,0.8519375,0.0010816292687422903,5,0.2964875,0.015716693453936163,5,0.55545,0.014914103015267044,5
plain,10,0.95505,0.0017446346322368006,5,0.6278,0.028246902485051392,5,0.32725,0.02727063438939402,5
plain,15,0.9630333333333334,0.001556349003990486,5,0.5367,0.06426457897715596,5,0.42633333333333334,0.06392769352948695,5
plain,20,0.95755,0.0003811987670494315,5,0.377025,0.03619752667655622,5,0.580525,0.03612731393973262,5
plain,25,0.90808,0.0008671793355471382,5,0.31826,0.03028635006071219,5,0.58982,0.03055719227939639,5
plain,30,0.9070333333333334,0.0005451809077931676,5,0.24313333333333328,0.025403589532015172,5,0.6639000000000002,0.02534233666767488,5
plain,35,0.8795142857142857,0.0009054821694454807,5,0.22158571428571427,0.025124506290204594,5,0.6579285714285714,0.024951739132058247,5
plain,40,0.8717750000000001,0.001383919930848564,5,0.19014999999999999,0.0349436097072841,5,0.681625,0.03595385497411924,5
