dataset,arch,config,K,prin_mean,prin_std,linear_mean,linear_std,n
mnist,deep,drop,20,0.7649142857142858,0.031226026995196842,0.9871714285714285,0.0006524678426668473,7
mnist,deep,drop,25,0.7834714285714286,0.025790612910237598,0.9871714285714285,0.0006524678426668473,7
mnist,deep,drop,30,0.7983714285714285,0.02638962638902606,0.9871714285714285,0.0006524678426668473,7
mnist,deep,drop,40,0.8102285714285714,0.021236659678153604,0.9871714285714285,0.0006524678426668473,7
mnist,deep,drop,50,0.819442857142857,0.02133188983211579,0.9871714285714285,0.0006524678426668473,7
mnist,deep,drop,75,0.8405285714285714,0.019105471667013287,0.9871714285714285,0.0006524678426668473,7
mnist,deep,drop,100,0.8454571428571428,0.0123629631214712,0.9871714285714285,0.0006524678426668473,7
mnist,deep,ln,20,0.8191285714285714,0.021796002254673083,0.9877714285714286,0.0004644505202002545,7
mnist,deep,ln,25,0.8361142857142857,0.021204985936600595,0.9877714285714286,0.0004644505202002545,7
mnist,deep,ln,30,0.8440714285714286,0.014562361791700545,0.9877714285714286,0.0004644505202002545,7
mnist,deep,ln,40,0.8615428571428572,0.01600894095423525,0.9877714285714286,0.0004644505202002545,7
mnist,deep,ln,50,0.8745,0.011452510641776317,0.9877714285714286,0.0004644505202002545,7
mnist,deep,ln,75,0.8924428571428571,0.008859243222543906,0.9877714285714286,0.0004644505202002545,7
mnist,deep,ln,100,0.9029714285714286,0.008679998902786885,0.9877714285714286,0.0004644505202002545,7
mnist,deep,ln_drop,20,0.8166714285714286,0.014720701329048475,0.9880000000000001,0.0003265986323710913,7
mnist,deep,ln_drop,25,0.8270428571428571,0.024647302566599954,0.9880000000000001,0.0003265986323710913,7
mnist,deep,ln_drop,30,0.8446,0.015125365009369741,0.9880000000000001,0.0003265986323710913,7
mnist,deep,ln_drop,40,0.8591142857142857,0.014207442717513532,0.9880000000000001,0.0003265986323710913,7
mnist,deep,ln_drop,50,0.871642857142857,0.013582201238245216,0.9880000000000001,0.0003265986323710913,7
mnist,deep,ln_drop,75,0.8880571428571429,0.014388868051710075,0.9880000000000001,0.0003265986323710913,7
mnist,deep,ln_drop,100,0.8956857142857143,0.010612952553590406,0.9880000000000001,0.0003265986323710913,7
mnist,deep,plain,20,0.7177571428571429,0.033105430427794146,0.9870142857142857,0.0009423880506963256,7
mnist,deep,plain,25,0.7422571428571428,0.03138125008891229,0.9870142857142857,0.0009423880506963256,7
