dataset,arch,config,K,prin_mean,prin_std,linear_mean,linear_std,n
emnist,deep,drop,20,0.3235258358662613,0.013790681012752404,0.8500227963525836,0.0016937563265910555,7
emnist,deep,drop,25,0.3510030395136778,0.014164872263556028,0.8500227963525836,0.0016937563265910555,7
emnist,deep,drop,30,0.37354103343465045,0.011036384105651975,0.8500227963525836,0.0016937563265910555,7
emnist,deep,drop,40,0.3962765957446809,0.016124275688711994,0.8500227963525836,0.0016937563265910555,7
emnist,deep,drop,50,0.41345744680851065,0.016091487861303044,0.8500227963525836,0.0016937563265910555,7
emnist,deep,drop,75,0.4477203647416413,0.017864777733640452,0.8500227963525836,0.0016937563265910555,7
emnist,deep,drop,100,0.46266717325227963,0.021053740432607826,0.8500227963525836,0.0016937563265910555,7
emnist,deep,ln,20,0.15290273556231002,0.028433523070752382,0.8831079027355624,0.00175366813146752,7
emnist,deep,ln,25,0.17247720364741634,0.029833659002337636,0.8831079027355624,0.00175366813146752,7
emnist,deep,ln,30,0.1888525835866261,0.025824725680779828,0.8831079027355624,0.00175366813146752,7
emnist,deep,ln,40,0.2166641337386018,0.031995903602406624,0.8831079027355624,0.00175366813146752,7
emnist,deep,ln,50,0.23359422492401213,0.034986980714942204,0.8831079027355624,0.00175366813146752,7
emnist,deep,ln,75,0.28334346504559266,0.03880810903380962,0.8831079027355624,0.00175366813146752,7
emnist,deep,ln,100,0.3098404255319149,0.04210591619550686,0.8831079027355624,0.00175366813146752,7
emnist,deep,ln_drop,20,0.2501823708206687,0.022493708716344065,0.8518996960486322,0.0012101168208240684,7
emnist,deep,ln_drop,25,0.27012158054711244,0.029743678805668628,0.8518996960486322,0.0012101168208240684,7
emnist,deep,ln_drop,30,0.28539513677811545,0.02624303095643531,0.8518996960486322,0.0012101168208240684,7
emnist,deep,ln_drop,40,0.3045516717325228,0.02323838825238122,0.8518996960486322,0.0012101168208240684,7
emnist,deep,ln_drop,50,0.31854103343465046,0.02822705934031188,0.8518996960486322,0.0012101168208240684,7
emnist,deep,ln_drop,75,0.3554635258358662,0.024219885042878,0.8518996960486322,0.0012101168208240684,7
emnist,deep,ln_drop,100,0.37558510638297865,0.02535069775898411,0.8518996960486322,0.0012101168208240684,7
emnist,deep,plain,20,0.1456914893617021,0.016885261077276975,0.8808814589665654,0.0009404806587334838,7
emnist,deep,plain,25,0.16618541033434647,0.01140800235022383,0.8808814589665654,0.0009404806587334838,7
emnist,deep,plain,30,0.18309270516717321,0.008564514122443117,0.8808814589665654,0.0009404806587334838,7
emnist,deep,plain,40,0.2083282674772036,0.00825119035765276,0.8808814589665654,0.0009404806587334838,7
emnist,deep,plain,50,0.2280395136778115,0.01301744849729482,0.8808814589665654,0.0009404806587334838,7
emnist,deep,plain,75,0.27583586626139817,0.012177316618657891,0.8808814589665654,0.0009404806587334838,7
emnist,deep,plain,100,0.29858662613981757,0.01887243380382145,0.8808814589665654,0.0009404806587334838,7
emnist,shallow,drop,20,0.3138981762917933,0.019332325013976227,0.8487234042553192,0.001447942296682581,7
emnist,shallow,drop,25,0.34696808510638294,0.018123238897598582,0.8487234042553192,0.001447942296682581,7
emnist,shallow,drop,30,0.3668465045592705,0.019675428481590086,0.8487234042553192,0.001447942296682581,7
emnist,shallow,drop,40,0.39223404255319144,0.022770389639481085,0.8487234042553192,0.001447942296682581,7
emnist,shallow,drop,50,0.40049392097264436,0.019373966243972654,0.8487234042553192,0.001447942296682581,7
emnist,shallow,drop,75,0.42566109422492404,0.016704607970248656,0.8487234042553192,0.001447942296682581,7
emnist,shallow,drop,100,0.44454407294832826,0.01121503406846865,0.8487234042553192,0.001447942296682581,7
emnist,shallow,ln,20,0.16699848024316102,0.02585520165682494,0.8715653495440729,0.0017045796675115709,7
