dataset,arch,config,subset,subset_size,seed,epoch,replace,K,train_acc,test_acc,ckpt
emnist,shallow,drop,fifteen_1,15,1032,epoch10,none,20,0.94025,0.9328333333333333,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1032\epoch10.safetensors
emnist,shallow,drop,fifteen_1,15,1032,epoch10,hidden,20,0.7396666666666667,0.7371666666666666,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1032\epoch10.safetensors
emnist,shallow,drop,fifteen_1,15,1032,epoch100,none,20,0.95925,0.9523333333333334,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1032\epoch100.safetensors
emnist,shallow,drop,fifteen_1,15,1032,epoch100,hidden,20,0.6976944444444444,0.6993333333333334,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1032\epoch100.safetensors
emnist,shallow,drop,fifteen_1,15,1032,epoch150,none,20,0.9628611111111111,0.9556666666666667,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1032\epoch150.safetensors
emnist,shallow,drop,fifteen_1,15,1032,epoch150,hidden,20,0.6577222222222222,0.659,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1032\epoch150.safetensors
emnist,shallow,drop,fifteen_1,15,1032,epoch200,none,20,0.9635555555555556,0.9553333333333334,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1032\epoch200.safetensors
emnist,shallow,drop,fifteen_1,15,1032,epoch200,hidden,20,0.6599444444444444,0.6583333333333333,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1032\epoch200.safetensors
emnist,shallow,drop,fifteen_1,15,1032,epoch25,none,20,0.9518888888888889,0.945,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1032\epoch25.safetensors
emnist,shallow,drop,fifteen_1,15,1032,epoch25,hidden,20,0.713,0.7046666666666667,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1032\epoch25.safetensors
emnist,shallow,drop,fifteen_1,15,1032,epoch50,none,20,0.9572222222222222,0.9523333333333334,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1032\epoch50.safetensors
emnist,shallow,drop,fifteen_1,15,1032,epoch50,hidden,20,0.6866111111111111,0.6891666666666667,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1032\epoch50.safetensors
emnist,shallow,drop,fifteen_1,15,1032,epoch75,none,20,0.9581388888888889,0.9508333333333333,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1032\epoch75.safetensors
emnist,shallow,drop,fifteen_1,15,1032,epoch75,hidden,20,0.7204444444444444,0.7228333333333333,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1032\epoch75.safetensors
emnist,shallow,drop,fifteen_1,15,1362,epoch10,none,20,0.9403611111111111,0.938,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1362\epoch10.safetensors
emnist,shallow,drop,fifteen_1,15,1362,epoch10,hidden,20,0.66525,0.6686666666666666,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1362\epoch10.safetensors
emnist,shallow,drop,fifteen_1,15,1362,epoch100,none,20,0.9621388888888889,0.9565,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1362\epoch100.safetensors
emnist,shallow,drop,fifteen_1,15,1362,epoch100,hidden,20,0.6843888888888889,0.6771666666666667,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1362\epoch100.safetensors
emnist,shallow,drop,fifteen_1,15,1362,epoch150,none,20,0.9644722222222222,0.9573333333333334,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1362\epoch150.safetensors
emnist,shallow,drop,fifteen_1,15,1362,epoch150,hidden,20,0.7315,0.7371666666666666,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1362\epoch150.safetensors
emnist,shallow,drop,fifteen_1,15,1362,epoch200,none,20,0.96475,0.9561666666666667,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1362\epoch200.safetensors
emnist,shallow,drop,fifteen_1,15,1362,epoch200,hidden,20,0.6843055555555555,0.6728333333333333,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1362\epoch200.safetensors
emnist,shallow,drop,fifteen_1,15,1362,epoch25,none,20,0.9518611111111112,0.9451666666666667,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1362\epoch25.safetensors
emnist,shallow,drop,fifteen_1,15,1362,epoch25,hidden,20,0.7579444444444444,0.7655,D:\generating_vector_data\emnist_subsets\emnist_shallow_drop_named_fifteen_1\seed1362\epoch25.safetensors
